drug,normalized,status
sunitinib,sunitinib,Unverified
Ativan,lorazepam,Verified
lovenox,lovenox,Unverified
Folate,folate,Unverified
cariprazine,cariprazine,Unverified
fluoxetine,fluoxetine,Verified
glipizide,glipizide,Unverified
amlodipine,amlodipine,Verified
atenolol,atenolol,Verified
lisinopril,lisinopril,Verified
levothyroxine,levothyroxine,Verified
Fenofibrate,fenofibrate,Unverified
Gabapentin,gabapentin,Verified
glargine,glargine,Unverified
Levothyroxine Sodium,levothyroxine sodium,Verified
Ondansetron,ondansetron,Unverified
Prochlorperazine,prochlorperazine,Unverified
Simvastatin,simvastatin,Unverified
Tamsulosin,tamsulosin,Verified
Ascorbic Acid,ascorbic acid,Unverified
Vitamin D,vitamin d,Unverified
Omeprazole,omeprazole,Verified
